current_A,voltage_V
-0.0001,2.7395205200000005e-05
-8e-05,8.524864816666665e-05
-6e-05,-4.2233957899999996e-05
-3.9999999999999996e-05,7.025138373333333e-05
-1.9999999999999998e-05,7.563769026666667e-05
0.0,7.162839533333338e-06
2.0000000000000012e-05,6.808355096666668e-05
4.000000000000001e-05,-7.420331376666667e-05
6.000000000000001e-05,7.150356996666667e-05
8e-05,8.11633314e-05
0.0001,-8.535654900000006e-06
